datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,DUQ,1333
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,DOM,9991
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,COMED,9459
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,DAYTON,1682
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,FE,6453
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,DEOK,2659
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,EKPC,1400
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,PJME,25676
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,PJMW,4912
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,AEP,13310
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,DUQ,1351
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,DOM,10296
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,COMED,9602
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,DAYTON,1744
